Country,Index,Week,Closing.Price
Austria,ATX,31/01/2020,"2,583.77"
Austria,ATX,07/02/2020,"2,671.38"
Austria,ATX,14/02/2020,"2,666.81"
Austria,ATX,21/02/2020,"2,633.13"
Austria,ATX,28/02/2020,"2,397.11"
Austria,ATX,06/03/2020,"2,262.33"
Austria,ATX,13/03/2020,"1,809.90"
Austria,ATX,20/03/2020,"1,735.51"
Austria,ATX,27/03/2020,"1,786.73"
Austria,ATX,03/04/2020,"1,732.22"
Austria,ATX,10/04/2020,"1,917.98"
Austria,ATX,17/04/2020,"1,801.25"
Austria,ATX,24/04/2020,"1,832.17"
Austria,ATX,01/05/2020,"1,956.54"
Austria,ATX,08/05/2020,"1,962.77"
Austria,ATX,15/05/2020,"1,903.92"
Austria,ATX,22/05/2020,"1,906.40"
Austria,ATX,29/05/2020,"2,006.98"
Austria,ATX,05/06/2020,"2,214.38"
Belgium,BEL20,10/01/2020,"3,414.52"
Belgium,BEL20,17/01/2020,"3,415.73"
Belgium,BEL20,24/01/2020,"3,374.39"
Belgium,BEL20,31/01/2020,"3,284.11"
Belgium,BEL20,07/02/2020,"3,476.37"
Belgium,BEL20,14/02/2020,"3,474.51"
Belgium,BEL20,21/02/2020,"3,409.88"
Belgium,BEL20,28/02/2020,"3,000.14"
Belgium,BEL20,06/03/2020,"2,971.19"
Belgium,BEL20,13/03/2020,"2,472.11"
Belgium,BEL20,20/03/2020,"2,546.03"
Belgium,BEL20,27/03/2020,"2,560.33"
Belgium,BEL20,03/04/2020,"2,518.68"
Belgium,BEL20,10/04/2020,"2,715.65"
Belgium,BEL20,17/04/2020,"2,623.83"
Belgium,BEL20,24/04/2020,"2,574.84"
Belgium,BEL20,01/05/2020,"2,722.56"
Belgium,BEL20,08/05/2020,"2,672.36"
Belgium,BEL20,15/05/2020,"2,619.94"
Belgium,BEL20,22/05/2020,"2,654.87"
Belgium,BEL20,29/05/2020,"2,879.66"
Belgium,BEL20,05/06/2020,"3,154.49"
Brazil,BOVESPA,10/01/2020,"21,593.73"
Brazil,BOVESPA,17/01/2020,"21,886.14"
Brazil,BOVESPA,24/01/2020,"21,650.52"
Brazil,BOVESPA,31/01/2020,"20,128.08"
Brazil,BOVESPA,07/02/2020,"20,428.25"
Brazil,BOVESPA,14/02/2020,"20,401.89"
Brazil,BOVESPA,21/02/2020,"19,969.55"
Brazil,BOVESPA,28/02/2020,"18,164.88"
Brazil,BOVESPA,06/03/2020,"16,233.46"
Brazil,BOVESPA,13/03/2020,"13,863.61"
Brazil,BOVESPA,20/03/2020,"11,380.21"
Brazil,BOVESPA,27/03/2020,"11,559.67"
Brazil,BOVESPA,03/04/2020,"10,600.49"
Brazil,BOVESPA,10/04/2020,"12,217.22"
Brazil,BOVESPA,17/04/2020,"12,069.01"
Brazil,BOVESPA,24/04/2020,"10,895.30"
Brazil,BOVESPA,01/05/2020,"11,738.78"
Brazil,BOVESPA,08/05/2020,"11,286.36"
Brazil,BOVESPA,15/05/2020,"10,942.88"
Brazil,BOVESPA,22/05/2020,"12,207.63"
Brazil,BOVESPA,29/05/2020,"13,269.19"
Brazil,BOVESPA,05/06/2020,"15,072.08"
India,BSE,10/01/2020,5.56
India,BSE,17/01/2020,5.91
India,BSE,24/01/2020,5.86
India,BSE,31/01/2020,5.65
India,BSE,07/02/2020,6.22
India,BSE,14/02/2020,5.61
India,BSE,21/02/2020,5.53
India,BSE,28/02/2020,4.87
India,BSE,06/03/2020,4.3
India,BSE,13/03/2020,4.06
India,BSE,20/03/2020,3.57
India,BSE,27/03/2020,3.2
India,BSE,03/04/2020,3.18
India,BSE,10/04/2020,3.5
India,BSE,17/04/2020,4.04
India,BSE,24/04/2020,3.81
India,BSE,01/05/2020,4.13
India,BSE,08/05/2020,4.1
India,BSE,15/05/2020,4.65
India,BSE,22/05/2020,4.29
India,BSE,29/05/2020,4.05
India,BSE,05/06/2020,4.27
France,CAC40,10/01/2020,"5,140.75"
France,CAC40,17/01/2020,"5,200.24"
France,CAC40,24/01/2020,"5,078.44"
France,CAC40,31/01/2020,"4,879.87"
France,CAC40,07/02/2020,"5,118.59"
France,CAC40,14/02/2020,"5,038.42"
France,CAC40,21/02/2020,"5,041.30"
France,CAC40,28/02/2020,"4,566.42"
France,CAC40,06/03/2020,"4,445.08"
France,CAC40,13/03/2020,"3,725.50"
France,CAC40,20/03/2020,"3,719.43"
France,CAC40,27/03/2020,"3,891.75"
France,CAC40,03/04/2020,"3,662.54"
France,CAC40,10/04/2020,"3,957.79"
France,CAC40,17/04/2020,"3,914.77"
France,CAC40,24/04/2020,"3,843.76"
France,CAC40,01/05/2020,"4,016.64"
France,CAC40,08/05/2020,"3,975.04"
France,CAC40,15/05/2020,"3,822.08"
France,CAC40,22/05/2020,"3,982.73"
France,CAC40,29/05/2020,"4,221.50"
France,CAC40,05/06/2020,"4,631.74"
Croatia,CROBEX,10/01/2020,233.25
Croatia,CROBEX,17/01/2020,234.98
Croatia,CROBEX,24/01/2020,231.72
Croatia,CROBEX,31/01/2020,230.58
Croatia,CROBEX,07/02/2020,230.95
Croatia,CROBEX,14/02/2020,226.5
Croatia,CROBEX,21/02/2020,226.98
Croatia,CROBEX,28/02/2020,214.6
Croatia,CROBEX,06/03/2020,209.49
Croatia,CROBEX,13/03/2020,180.63
Croatia,CROBEX,20/03/2020,169.95
Croatia,CROBEX,27/03/2020,171.47
Croatia,CROBEX,03/04/2020,174.07
Croatia,CROBEX,10/04/2020,182.89
Croatia,CROBEX,17/04/2020,179.43
Croatia,CROBEX,24/04/2020,181.39
Croatia,CROBEX,01/05/2020,179.12
Croatia,CROBEX,08/05/2020,178.52
Croatia,CROBEX,15/05/2020,182.89
Croatia,CROBEX,22/05/2020,185.44
Croatia,CROBEX,29/05/2020,193.84
Croatia,CROBEX,05/06/2020,195.35
China,CSI300,10/01/2020,460.84022
China,CSI300,17/01/2020,465.6847
China,CSI300,24/01/2020,441.44276
China,CSI300,31/01/2020,
China,CSI300,07/02/2020,432.16499
China,CSI300,14/02/2020,437.54964
China,CSI300,21/02/2020,455.41919
China,CSI300,28/02/2020,439.64127
China,CSI300,06/03/2020,457.7333
China,CSI300,13/03/2020,453.07011
China,CSI300,20/03/2020,442.31556
China,CSI300,27/03/2020,419.85677
China,CSI300,03/04/2020,427.13426
China,CSI300,10/04/2020,430.45387
China,CSI300,17/04/2020,434.41898
China,CSI300,24/04/2020,433.56893
China,CSI300,01/05/2020,443.26692
China,CSI300,08/05/2020,451.65966
China,CSI300,15/05/2020,455.21962
China,CSI300,22/05/2020,441.11227
China,CSI300,29/05/2020,439.07526
China,CSI300,05/06/2020,446.24729
Germany,DAX30,10/01/2020,"11,481.39"
Germany,DAX30,17/01/2020,"11,529.64"
Germany,DAX30,24/01/2020,"11,445.12"
Germany,DAX30,31/01/2020,"10,910.55"
Germany,DAX30,07/02/2020,"11,471.72"
Germany,DAX30,14/02/2020,"11,409.65"
Germany,DAX30,21/02/2020,"11,353.34"
Germany,DAX30,28/02/2020,"10,225.49"
Germany,DAX30,06/03/2020,"9,983.17"
Germany,DAX30,13/03/2020,"8,351.42"
Germany,DAX30,20/03/2020,"8,202.58"
Germany,DAX30,27/03/2020,"8,614.83"
Germany,DAX30,03/04/2020,"8,397.59"
Germany,DAX30,10/04/2020,"9,277.66"
Germany,DAX30,17/04/2020,"9,245.93"
Germany,DAX30,24/04/2020,"9,043.14"
Germany,DAX30,01/05/2020,"9,541.90"
Germany,DAX30,08/05/2020,"9,527.28"
Germany,DAX30,15/05/2020,"9,350.68"
Germany,DAX30,22/05/2020,"9,923.19"
Germany,DAX30,29/05/2020,"10,417.31"
Germany,DAX30,05/06/2020,"11,448.54"
Malaysia,FTSE_BURSA,10/01/2020,299.06
Malaysia,FTSE_BURSA,17/01/2020,302.91
Malaysia,FTSE_BURSA,24/01/2020,295.93
Malaysia,FTSE_BURSA,31/01/2020,283.27
Malaysia,FTSE_BURSA,07/02/2020,291.24
Malaysia,FTSE_BURSA,14/02/2020,285.92
Malaysia,FTSE_BURSA,21/02/2020,281.92
Malaysia,FTSE_BURSA,28/02/2020,274.64
Malaysia,FTSE_BURSA,06/03/2020,272.6
Malaysia,FTSE_BURSA,13/03/2020,256.12
Malaysia,FTSE_BURSA,20/03/2020,252.84
Malaysia,FTSE_BURSA,27/03/2020,249.31
Malaysia,FTSE_BURSA,03/04/2020,249.16
Malaysia,FTSE_BURSA,10/04/2020,253.24
Malaysia,FTSE_BURSA,17/04/2020,257.95
Malaysia,FTSE_BURSA,24/04/2020,254.23
Malaysia,FTSE_BURSA,01/05/2020,262.3
Malaysia,FTSE_BURSA,08/05/2020,257.25
Malaysia,FTSE_BURSA,15/05/2020,266.61
Malaysia,FTSE_BURSA,22/05/2020,270.85
Malaysia,FTSE_BURSA,29/05/2020,274.68
Malaysia,FTSE_BURSA,05/06/2020,288.17
Italy,FTSE_MIB,10/01/2020,"20,454.84"
Italy,FTSE_MIB,17/01/2020,"20,577.78"
Italy,FTSE_MIB,24/01/2020,"20,205.95"
Italy,FTSE_MIB,31/01/2020,"19,529.29"
Italy,FTSE_MIB,07/02/2020,"20,779.37"
Italy,FTSE_MIB,14/02/2020,"20,643.15"
Italy,FTSE_MIB,21/02/2020,"20,712.21"
Italy,FTSE_MIB,28/02/2020,"18,906.04"
Italy,FTSE_MIB,06/03/2020,"17,990.91"
Italy,FTSE_MIB,13/03/2020,"14,432.39"
Italy,FTSE_MIB,20/03/2020,"14,452.07"
Italy,FTSE_MIB,27/03/2020,"15,045.26"
Italy,FTSE_MIB,03/04/2020,"14,443.88"
Italy,FTSE_MIB,10/04/2020,"15,474.82"
Italy,FTSE_MIB,17/04/2020,"14,840.67"
Italy,FTSE_MIB,24/04/2020,"14,750.00"
Italy,FTSE_MIB,01/05/2020,"15,541.01"
Italy,FTSE_MIB,08/05/2020,"15,236.77"
Italy,FTSE_MIB,15/05/2020,"15,057.65"
Italy,FTSE_MIB,22/05/2020,"15,516.96"
Italy,FTSE_MIB,29/05/2020,"16,360.76"
Italy,FTSE_MIB,05/06/2020,"17,989.05"
UK,FTSE_100,10/01/2020,"7,587.85"
UK,FTSE_100,17/01/2020,"7,674.56"
UK,FTSE_100,24/01/2020,"7,585.98"
UK,FTSE_100,31/01/2020,"7,286.01"
UK,FTSE_100,07/02/2020,"7,466.70"
UK,FTSE_100,14/02/2020,"7,409.13"
UK,FTSE_100,21/02/2020,"7,403.92"
UK,FTSE_100,28/02/2020,"6,580.61"
UK,FTSE_100,06/03/2020,"6,462.55"
UK,FTSE_100,13/03/2020,"5,366.11"
UK,FTSE_100,20/03/2020,"5,190.78"
UK,FTSE_100,27/03/2020,"5,510.33"
UK,FTSE_100,03/04/2020,"5,415.50"
UK,FTSE_100,10/04/2020,"5,842.66"
UK,FTSE_100,17/04/2020,"5,786.96"
UK,FTSE_100,24/04/2020,"5,752.23"
UK,FTSE_100,01/05/2020,"5,763.06"
UK,FTSE_100,08/05/2020,"5,935.98"
UK,FTSE_100,15/05/2020,"5,799.77"
UK,FTSE_100,22/05/2020,"5,993.28"
UK,FTSE_100,29/05/2020,"6,076.60"
UK,FTSE_100,05/06/2020,"6,484.30"
Spain,IBEX35,10/01/2020,"8,152.20"
Spain,IBEX35,17/01/2020,"8,252.30"
Spain,IBEX35,24/01/2020,"8,060.80"
Spain,IBEX35,31/01/2020,"7,873.10"
Spain,IBEX35,07/02/2020,"8,328.40"
Spain,IBEX35,14/02/2020,"8,265.60"
Spain,IBEX35,21/02/2020,"8,265.60"
Spain,IBEX35,28/02/2020,"7,501.80"
Spain,IBEX35,06/03/2020,"7,244.50"
Spain,IBEX35,13/03/2020,"5,997.20"
Spain,IBEX35,20/03/2020,"5,919.10"
Spain,IBEX35,27/03/2020,"6,061.80"
Spain,IBEX35,03/04/2020,"5,802.10"
Spain,IBEX35,10/04/2020,"6,209.20"
Spain,IBEX35,17/04/2020,"5,982.90"
Spain,IBEX35,24/04/2020,"5,786.60"
Spain,IBEX35,01/05/2020,"6,081.20"
Spain,IBEX35,08/05/2020,"5,926.40"
Spain,IBEX35,15/05/2020,"5,785.40"
Spain,IBEX35,22/05/2020,"6,001.60"
Spain,IBEX35,29/05/2020,"6,380.20"
Spain,IBEX35,05/06/2020,"7,015.30"
Korea,KOSPI200,10/01/2020,0.2
Korea,KOSPI200,17/01/2020,0.2
Korea,KOSPI200,24/01/2020,0.2
Korea,KOSPI200,31/01/2020,0.18
Korea,KOSPI200,07/02/2020,0.19
Korea,KOSPI200,14/02/2020,0.2
Korea,KOSPI200,21/02/2020,0.19
Korea,KOSPI200,28/02/2020,0.17
Korea,KOSPI200,06/03/2020,0.18
Korea,KOSPI200,13/03/2020,0.16
Korea,KOSPI200,20/03/2020,0.15
Korea,KOSPI200,27/03/2020,0.15
Korea,KOSPI200,03/04/2020,0.15
Korea,KOSPI200,10/04/2020,0.16
Korea,KOSPI200,17/04/2020,0.17
Korea,KOSPI200,24/04/2020,0.16
Korea,KOSPI200,01/05/2020,0.17
Korea,KOSPI200,08/05/2020,0.17
Korea,KOSPI200,15/05/2020,0.17
Korea,KOSPI200,22/05/2020,0.17
Korea,KOSPI200,29/05/2020,0.18
Korea,KOSPI200,05/06/2020,0.19
Argentina,MERVAL,10/01/2020,548.87
Argentina,MERVAL,17/01/2020,542.49
Argentina,MERVAL,24/01/2020,508.79
Argentina,MERVAL,31/01/2020,504.14
Argentina,MERVAL,07/02/2020,526.8
Argentina,MERVAL,14/02/2020,482.79
Argentina,MERVAL,21/02/2020,482.83
Argentina,MERVAL,28/02/2020,439.15
Argentina,MERVAL,06/03/2020,433.42
Argentina,MERVAL,13/03/2020,368.48
Argentina,MERVAL,20/03/2020,321.87
Argentina,MERVAL,27/03/2020,300.79
Argentina,MERVAL,03/04/2020,333.09
Argentina,MERVAL,10/04/2020,348.68
Argentina,MERVAL,17/04/2020,363.38
Argentina,MERVAL,24/04/2020,356.9
Argentina,MERVAL,01/05/2020,393.18
Argentina,MERVAL,08/05/2020,433.54
Argentina,MERVAL,15/05/2020,481.49
Argentina,MERVAL,22/05/2020,493.99
Argentina,MERVAL,29/05/2020,448.06
Argentina,MERVAL,05/06/2020,517.7
Czech Republic,PX_INDEX,10/01/2020,38.23
Czech Republic,PX_INDEX,17/01/2020,38.42
Czech Republic,PX_INDEX,24/01/2020,38.3
Czech Republic,PX_INDEX,31/01/2020,35.75
Czech Republic,PX_INDEX,07/02/2020,37.69
Czech Republic,PX_INDEX,14/02/2020,36.86
Czech Republic,PX_INDEX,21/02/2020,36.38
Czech Republic,PX_INDEX,28/02/2020,33.02
Czech Republic,PX_INDEX,06/03/2020,32.82
Czech Republic,PX_INDEX,13/03/2020,28.45
Czech Republic,PX_INDEX,20/03/2020,24.84
Czech Republic,PX_INDEX,27/03/2020,25.56
Czech Republic,PX_INDEX,03/04/2020,24.58
Czech Republic,PX_INDEX,10/04/2020,27.29
Czech Republic,PX_INDEX,17/04/2020,27.24
Czech Republic,PX_INDEX,24/04/2020,27.46
Czech Republic,PX_INDEX,01/05/2020,28.19
Czech Republic,PX_INDEX,08/05/2020,28.3
Czech Republic,PX_INDEX,15/05/2020,28
Czech Republic,PX_INDEX,22/05/2020,28.83
Czech Republic,PX_INDEX,29/05/2020,29.94
Czech Republic,PX_INDEX,05/06/2020,32.13
Switzerland,SMI,10/01/2020,"8,379.41"
Switzerland,SMI,17/01/2020,"8,610.29"
Switzerland,SMI,24/01/2020,"8,545.27"
Switzerland,SMI,31/01/2020,"8,361.37"
Switzerland,SMI,07/02/2020,"8,728.98"
Switzerland,SMI,14/02/2020,"8,686.82"
Switzerland,SMI,21/02/2020,"8,759.91"
Switzerland,SMI,28/02/2020,"7,944.16"
Switzerland,SMI,06/03/2020,"7,962.96"
Switzerland,SMI,13/03/2020,"7,177.98"
Switzerland,SMI,20/03/2020,"7,509.53"
Switzerland,SMI,27/03/2020,"7,593.10"
Switzerland,SMI,03/04/2020,"7,710.64"
Switzerland,SMI,10/04/2020,"7,857.76"
Switzerland,SMI,17/04/2020,"7,952.48"
Switzerland,SMI,24/04/2020,"7,999.28"
Switzerland,SMI,01/05/2020,"8,013.18"
Switzerland,SMI,08/05/2020,"8,026.24"
Switzerland,SMI,15/05/2020,"8,065.32"
Switzerland,SMI,22/05/2020,"8,204.06"
Switzerland,SMI,29/05/2020,"8,286.09"
Switzerland,SMI,05/06/2020,"8,361.74"
United States,SP500,10/01/2020,"2,522.25"
United States,SP500,17/01/2020,"2,466.23"
United States,SP500,24/01/2020,"2,429.68"
United States,SP500,31/01/2020,"2,365.90"
United States,SP500,07/02/2020,"2,361.42"
United States,SP500,14/02/2020,"2,264.20"
United States,SP500,21/02/2020,"2,293.79"
United States,SP500,28/02/2020,"2,299.82"
United States,SP500,06/03/2020,"2,240.45"
United States,SP500,13/03/2020,"2,029.89"
United States,SP500,20/03/2020,"2,040.37"
United States,SP500,27/03/2020,"1,980.00"
United States,SP500,03/04/2020,"2,208.40"
United States,SP500,10/04/2020,"2,278.20"
United States,SP500,17/04/2020,"2,304.38"
United States,SP500,24/04/2020,"2,573.64"
United States,SP500,01/05/2020,"2,590.96"
United States,SP500,08/05/2020,"2,581.44"
United States,SP500,15/05/2020,"2,443.75"
United States,SP500,22/05/2020,"2,520.24"
United States,SP500,29/05/2020,"2,559.68"
United States,SP500,05/06/2020,"2,500.47"
Israel,TA125,10/01/2020,358.76
Israel,TA125,17/01/2020,368.83
Israel,TA125,24/01/2020,371.9
Israel,TA125,31/01/2020,359.19
Israel,TA125,07/02/2020,376.86
Israel,TA125,14/02/2020,372.48
Israel,TA125,21/02/2020,376.38
Israel,TA125,28/02/2020,347.2
Israel,TA125,06/03/2020,325.59
Israel,TA125,13/03/2020,265.58
Israel,TA125,20/03/2020,276.84
Israel,TA125,27/03/2020,277.34
Israel,TA125,03/04/2020,276.96
Israel,TA125,10/04/2020,294.83
Israel,TA125,17/04/2020,290
Israel,TA125,24/04/2020,308.13
Israel,TA125,01/05/2020,321.09
Israel,TA125,08/05/2020,324.12
Israel,TA125,15/05/2020,311
Israel,TA125,22/05/2020,327.55
Israel,TA125,29/05/2020,326.86
Israel,TA125,05/06/2020,321.64
Taiwan,TAIEX,10/01/2020,307.34
Taiwan,TAIEX,17/01/2020,310.36
Taiwan,TAIEX,24/01/2020,308.51
Taiwan,TAIEX,31/01/2020,286.99
Taiwan,TAIEX,07/02/2020,298.6
Taiwan,TAIEX,14/02/2020,301.66
Taiwan,TAIEX,21/02/2020,296.56
Taiwan,TAIEX,28/02/2020,292.42
Taiwan,TAIEX,06/03/2020,290.22
Taiwan,TAIEX,13/03/2020,273.8
Taiwan,TAIEX,20/03/2020,262.1
Taiwan,TAIEX,27/03/2020,258
Taiwan,TAIEX,03/04/2020,260.7
Taiwan,TAIEX,10/04/2020,271.59
Taiwan,TAIEX,17/04/2020,282.28
Taiwan,TAIEX,24/04/2020,278.15
Taiwan,TAIEX,01/05/2020,294.13
Taiwan,TAIEX,08/05/2020,294.41
Taiwan,TAIEX,15/05/2020,298.29
Taiwan,TAIEX,22/05/2020,295.58
Taiwan,TAIEX,29/05/2020,296.03
Taiwan,TAIEX,05/06/2020,305.49
Canada,TSX,10/01/2020,"10,113.01"
Canada,TSX,17/01/2020,"10,333.52"
Canada,TSX,24/01/2020,"10,221.63"
Canada,TSX,31/01/2020,"9,913.87"
Canada,TSX,07/02/2020,"10,289.29"
Canada,TSX,14/02/2020,"10,323.82"
Canada,TSX,21/02/2020,"10,405.85"
Canada,TSX,28/02/2020,"9,469.74"
Canada,TSX,06/03/2020,"9,236.02"
Canada,TSX,13/03/2020,"8,094.85"
Canada,TSX,20/03/2020,"7,088.89"
Canada,TSX,27/03/2020,"7,287.76"
Canada,TSX,03/04/2020,"7,431.35"
Canada,TSX,10/04/2020,"8,154.34"
Canada,TSX,17/04/2020,"8,207.43"
Canada,TSX,24/04/2020,"8,268.55"
Canada,TSX,01/05/2020,"8,303.30"
Canada,TSX,08/05/2020,"8,662.87"
Canada,TSX,15/05/2020,"8,572.60"
Canada,TSX,22/05/2020,"8,761.26"
Canada,TSX,29/05/2020,"8,938.82"
Canada,TSX,05/06/2020,"9,326.55"
Chile,S&P/CLX,10/01/2020,222.55
Chile,S&P/CLX,17/01/2020,216.39
Chile,S&P/CLX,24/01/2020,208.3
Chile,S&P/CLX,31/01/2020,199.23
Chile,S&P/CLX,07/02/2020,207.67
Chile,S&P/CLX,14/02/2020,206.13
Chile,S&P/CLX,21/02/2020,199.01
Chile,S&P/CLX,28/02/2020,177.48
Chile,S&P/CLX,06/03/2020,177.53
Chile,S&P/CLX,13/03/2020,157.98
Chile,S&P/CLX,20/03/2020,128.21
Chile,S&P/CLX,27/03/2020,137.9
Chile,S&P/CLX,03/04/2020,150.08
Chile,S&P/CLX,10/04/2020,160.16
Chile,S&P/CLX,17/04/2020,159.03
Chile,S&P/CLX,24/04/2020,152.8
Chile,S&P/CLX,01/05/2020,167.93
Chile,S&P/CLX,08/05/2020,164.32
Chile,S&P/CLX,15/05/2020,156.37
Chile,S&P/CLX,22/05/2020,165.6
Chile,S&P/CLX,29/05/2020,164.09
Chile,S&P/CLX,05/06/2020,186.85
Denmark,OMX,10/01/2020,"1,172.35"
Denmark,OMX,17/01/2020,"1,199.53"
Denmark,OMX,24/01/2020,"1,221.63"
Denmark,OMX,31/01/2020,"1,209.78"
Denmark,OMX,07/02/2020,"1,263.92"
Denmark,OMX,14/02/2020,"1,261.27"
Denmark,OMX,21/02/2020,"1,277.48"
Denmark,OMX,28/02/2020,"1,159.84"
Denmark,OMX,06/03/2020,"1,195.70"
Denmark,OMX,13/03/2020,"1,019.66"
Denmark,OMX,20/03/2020,988.63
Denmark,OMX,27/03/2020,"1,079.32"
Denmark,OMX,03/04/2020,"1,110.97"
Denmark,OMX,10/04/2020,"1,121.56"
Denmark,OMX,17/04/2020,"1,180.05"
Denmark,OMX,24/04/2020,"1,196.07"
Denmark,OMX,01/05/2020,"1,201.07"
Denmark,OMX,08/05/2020,"1,203.29"
Denmark,OMX,15/05/2020,"1,213.95"
Denmark,OMX,22/05/2020,"1,275.03"
Denmark,OMX,29/05/2020,"1,311.92"
Denmark,OMX,05/06/2020,"1,320.62"
Greece,REFINITIV_G,10/01/2020,89.85
Greece,REFINITIV_G,17/01/2020,89.28
Greece,REFINITIV_G,24/01/2020,90.83
Greece,REFINITIV_G,31/01/2020,87.26
Greece,REFINITIV_G,07/02/2020,86.72
Greece,REFINITIV_G,14/02/2020,86.78
Greece,REFINITIV_G,21/02/2020,84.1
Greece,REFINITIV_G,28/02/2020,68.82
Greece,REFINITIV_G,06/03/2020,65.53
Greece,REFINITIV_G,13/03/2020,53.51
Greece,REFINITIV_G,20/03/2020,50.15
Greece,REFINITIV_G,27/03/2020,53.03
Greece,REFINITIV_G,03/04/2020,49.74
Greece,REFINITIV_G,10/04/2020,56.06
Greece,REFINITIV_G,17/04/2020,54.91
Greece,REFINITIV_G,24/04/2020,54.17
Greece,REFINITIV_G,01/05/2020,57.23
Greece,REFINITIV_G,08/05/2020,54.13
Greece,REFINITIV_G,15/05/2020,53.45
Greece,REFINITIV_G,22/05/2020,55.31
Greece,REFINITIV_G,29/05/2020,61.05
Greece,REFINITIV_G,05/06/2020,64.72
Japan,MSCI,10/01/2020,"3,904.75"
Japan,MSCI,17/01/2020,"3,928.09"
Japan,MSCI,24/01/2020,"3,878.28"
Japan,MSCI,31/01/2020,"3,691.21"
Japan,MSCI,07/02/2020,"3,830.35"
Japan,MSCI,14/02/2020,"3,885.00"
Japan,MSCI,21/02/2020,"3,830.02"
Japan,MSCI,28/02/2020,"3,558.29"
Japan,MSCI,06/03/2020,"3,561.78"
Japan,MSCI,13/03/2020,"3,200.22"
Japan,MSCI,20/03/2020,"2,915.90"
Japan,MSCI,27/03/2020,"3,061.86"
Japan,MSCI,03/04/2020,"3,035.86"
Japan,MSCI,10/04/2020,"3,206.17"
Japan,MSCI,17/04/2020,"3,313.02"
Japan,MSCI,24/04/2020,"3,230.63"
Japan,MSCI,01/05/2020,"3,330.58"
Japan,MSCI,08/05/2020,"3,336.92"
Japan,MSCI,15/05/2020,"3,314.18"
Japan,MSCI,22/05/2020,"3,296.41"
Japan,MSCI,29/05/2020,"3,398.02"
Japan,MSCI,05/06/2020,"3,635.78"
Mexico,REFINITIV_M,10/01/2020,245.68
Mexico,REFINITIV_M,17/01/2020,251.58
Mexico,REFINITIV_M,24/01/2020,248.71
Mexico,REFINITIV_M,31/01/2020,242.39
Mexico,REFINITIV_M,07/02/2020,246.86
Mexico,REFINITIV_M,14/02/2020,253.21
Mexico,REFINITIV_M,21/02/2020,248.04
Mexico,REFINITIV_M,28/02/2020,219.79
Mexico,REFINITIV_M,06/03/2020,212.31
Mexico,REFINITIV_M,13/03/2020,181.13
Mexico,REFINITIV_M,20/03/2020,147.22
Mexico,REFINITIV_M,27/03/2020,152.25
Mexico,REFINITIV_M,03/04/2020,137.84
Mexico,REFINITIV_M,10/04/2020,153.55
Mexico,REFINITIV_M,17/04/2020,151.7
Mexico,REFINITIV_M,24/04/2020,143.48
Mexico,REFINITIV_M,01/05/2020,152.83
Mexico,REFINITIV_M,08/05/2020,163.64
Mexico,REFINITIV_M,15/05/2020,154.82
Mexico,REFINITIV_M,22/05/2020,164.38
Mexico,REFINITIV_M,29/05/2020,171.32
Mexico,REFINITIV_M,05/06/2020,187.72
New Zealand,REFINITIV_NZ,10/01/2020,"1,457.14"
New Zealand,REFINITIV_NZ,17/01/2020,"1,470.96"
New Zealand,REFINITIV_NZ,24/01/2020,"1,493.97"
New Zealand,REFINITIV_NZ,31/01/2020,"1,443.43"
New Zealand,REFINITIV_NZ,07/02/2020,"1,444.68"
